"date","account_name","transaction_type","amount","fund_category","source_notes","transfer_to_account"
"2024-11-30","RBC Chequing","Deposit","400.00","Traveling Funds","saved from 2024 11",NULL
"2024-12-28","RBC Chequing","Withdrawal","-2000.00","Parents Support","borrow for Sui-Wen",NULL
"2024-12-31","RBC Chequing","Deposit","121.46","Retirement Saving","saved from 2024 12",NULL
"2024-12-31","RBC Chequing","Withdrawal","-400.00","Medium-term Saving","Pre-pay Mortgage",NULL
"2024-12-31","RBC Chequing","Deposit","30.36","Medium-term Saving","saved from 2024 12",NULL
"2024-12-31","RBC Chequing","Deposit","0.00","Traveling Funds","saved from 2024 12",NULL
"2025-01-01","RBC Chequing","Deposit","241.46","Traveling Funds","saved from 2025 01",NULL
"2025-01-01","RBC Chequing","Deposit","828.12","Medium-term Saving","saved from 2025 01",NULL
"2025-01-01","RBC Chequing","Deposit","1537.93","Retirement Saving","saved from 2025 01",NULL
"2025-01-31","RBC Chequing","Transfer Out","-800.00","Medium-term Saving","to make up the amount for buying TD ","Questrade TFSA (Medium)"
"2025-01-31","Questrade TFSA (Medium)","Transfer In","800.00","Medium-term Saving","to make up the amount for buying TD ",NULL
"2025-02-11","RBC Chequing","Withdrawal","-2398.88","Traveling Funds","Vancouver",NULL
"2025-02-11","RBC TFSA","Deposit","1438.20","Direct Investing","the CAD amount for the USD",NULL
"2025-02-11","RBC TFSA","Deposit","4929.25","Direct Investing","to buy Telsa amount",NULL
"2025-02-25","RBC Chequing","Deposit","52990.00","Parents Support","Mom's Support",NULL
"2025-02-27","RBC Chequing","Withdrawal","-30000.00","Parents Support","Mortgage in advance",NULL
"2025-02-28","RBC Chequing","Deposit","339.05","Medium-term Saving","saved from 2025 02",NULL
"2025-02-28","RBC Chequing","Deposit","1356.20","Retirement Saving","saved from 2025 02",NULL
"2025-02-28","RBC Chequing","Deposit","200.00","Traveling Funds","saved from 2025 02",NULL
"2025-03-01","RBC TFSA","Deposit","100.00","Direct Investing","RBC 03",NULL
"2025-03-01","RBC Chequing","Withdrawal","-3000.00","Parents Support","Deposit to House Usage",NULL
"2025-03-02","RBC Chequing","Withdrawal","-2000.00","Parents Support","borrow to Sui-Wen",NULL
"2025-03-07","RBC Chequing","Withdrawal","-10000.00","Parents Support","Owned by Sindy annual deposit",NULL
"2025-03-31","RBC Chequing","Deposit","451.57","Medium-term Saving","saved from 2025 03",NULL
"2025-03-31","RBC Chequing","Deposit","400.00","Traveling Funds","saved from 2025 03",NULL
"2025-03-31","RBC Chequing","Deposit","1806.28","Retirement Saving","saved from 2025 03",NULL
"2025-04-01","RBC TFSA","Deposit","100.00","Direct Investing","RBC 04",NULL
"2025-04-03","RBC Chequing","Deposit","4000.00","Retirement Saving","2024 Tax Return",NULL
"2025-04-03","RBC Chequing","Deposit","400.98","Traveling Funds","2024 Annual Tax Return",NULL
"2025-04-08","RBC Chequing","Transfer Out","-3325.00","Retirement Saving","Quarter Deposit","Questrade TFSA (Retire)"
"2025-04-08","Questrade TFSA (Retire)","Transfer In","3325.00","Retirement Saving","Quarter Deposit",NULL
